VendorName,SegmentCode,CompanyType,HQRegion,EmployeeBand,PrimaryOffering,WebsiteURL,SourceURL,SourceType,DateVerified,QueryUsed,Notes
Shakudo,enterprise_ai_suites,startup,na,,AI operations layer orchestrating data pipelines and LLM workloads inside customer VPCs,https://www.shakudo.io/,https://www.shakudo.io/blog/top-enterprise-ai-vendors-to-consider,html,2025-09-27,enterprise AI platform vendors,Vendor listed in Shakudo roundup; offers managed stack for enterprise AI teams.
IBM watsonx,enterprise_ai_suites,independent_isv,na,10k_plus,"Hybrid enterprise AI and data platform spanning Watsonx.ai, Watsonx.data, Watsonx.governance",https://www.ibm.com/products/watsonx,https://www.shakudo.io/blog/top-enterprise-ai-vendors-to-consider,html,2025-09-27,enterprise AI platform vendors,"Article segments IBM watsonx as enterprise AI suite; IBM HQ Armonk, NY (NA)."
C3.ai,enterprise_ai_suites,independent_isv,na,,Model-driven enterprise AI applications and platform accelerators,https://c3.ai/,https://www.shakudo.io/blog/top-enterprise-ai-vendors-to-consider,html,2025-09-27,enterprise AI platform vendors,Listed among top enterprise AI vendors; offers suite for multiple industries.
DataRobot,enterprise_ai_suites,startup,na,,End-to-end AI lifecycle platform with AutoML and MLOps governance,https://www.datarobot.com/,https://www.shakudo.io/blog/top-enterprise-ai-vendors-to-consider,html,2025-09-27,enterprise AI platform vendors,Roundup describes DataRobot enterprise AI capabilities.
H2O.ai,enterprise_ai_suites,startup,na,,"Open-source plus enterprise AI Cloud for AutoML, feature store, and deployment",https://www.h2o.ai/,https://www.shakudo.io/blog/top-enterprise-ai-vendors-to-consider,html,2025-09-27,enterprise AI platform vendors,Verification via Shakudo article referencing H2O.ai enterprise AI platform.
Palantir,enterprise_ai_suites,independent_isv,na,,"Palantir AIP platform combining ontology, AI agents, and operational decisioning",https://www.palantir.com/,https://www.shakudo.io/blog/top-enterprise-ai-vendors-to-consider,html,2025-09-27,enterprise AI platform vendors,Article cites Palantir for enterprise AI operations.
Dataiku,enterprise_ai_suites,independent_isv,na,,Collaborative data science and ML platform for enterprise use cases,https://www.dataiku.com/,https://www.shakudo.io/blog/top-enterprise-ai-vendors-to-consider,html,2025-09-27,enterprise AI platform vendors,Shakudo roundup confirms Dataiku as enterprise AI vendor.
Databricks,enterprise_ai_suites,independent_isv,na,,"Databricks Data Intelligence Platform unifying Lakehouse, ML, and governance",https://www.databricks.com/,https://www.shakudo.io/blog/top-enterprise-ai-vendors-to-consider,html,2025-09-27,enterprise AI platform vendors,Article references Databricks among enterprise AI suites.
Microsoft Azure AI Foundry,enterprise_ai_suites,hyperscaler,na,10k_plus,"Azure AI Foundry enterprise-grade AI platform with model catalog, agents, and governance",https://azure.microsoft.com/en-us/products/ai-studio/,https://azure.microsoft.com/en-us/products/ai-studio/,html,2025-09-27,"Microsoft enterprise AI platform 2025","Source states Azure AI Foundry is a flexible, secure, enterprise-grade AI platform"
Google Vertex AI,enterprise_ai_suites,hyperscaler,na,10k_plus,"Vertex AI enterprise-ready generative AI platform enhanced by Gemini models",https://cloud.google.com/vertex-ai,https://cloud.google.com/vertex-ai,html,2025-09-27,"Google Vertex AI platform 2025","Page headline: Innovate faster with enterprise-ready AI, enhanced by Gemini models"
Amazon Bedrock,enterprise_ai_suites,hyperscaler,na,10k_plus,"Comprehensive secure service for building enterprise generative AI applications and agents",https://aws.amazon.com/bedrock/,https://aws.amazon.com/bedrock/,html,2025-09-27,"Amazon Bedrock enterprise AI 2025","Source describes Amazon Bedrock as a comprehensive, secure, flexible service for generative AI"
Snowflake Cortex,enterprise_ai_suites,independent_isv,na,5k_9k,"Native AI and LLM suite inside the Snowflake Data Cloud with enterprise-grade security",https://www.snowflake.com/en/data-cloud/cortex/,https://www.snowflake.com/en/data-cloud/cortex/,html,2025-09-27,"Snowflake Cortex AI platform 2025","Page headline positions Cortex as native AI and highlights enterprise-grade security and governance"
Oracle OCI Generative AI,enterprise_ai_suites,hyperscaler,na,10k_plus,"OCI Generative AI platform combining LLMs, agents, and enterprise data governance",https://www.oracle.com/artificial-intelligence/generative-ai/,https://www.oracle.com/artificial-intelligence/generative-ai/,html,2025-09-27,"Oracle OCI Generative AI 2025","Page highlights delivering enterprise generative AI with governance plus Gemini model availability"
SAP Business AI,enterprise_ai_suites,independent_isv,emea,10k_plus,"Business AI agents embedded across SAP applications for enterprise-wide efficiency",https://www.sap.com/products/artificial-intelligence.html,https://www.sap.com/products/artificial-intelligence.html,html,2025-09-27,"SAP Business AI platform 2025","Source emphasizes building powerful AI agents for the enterprise using harmonized business data"
ServiceNow Now Platform,enterprise_ai_suites,independent_isv,na,10k_plus,"Single AI platform to connect and automate enterprise workflows for business transformation",https://www.servicenow.com/products/now-platform.html,https://www.servicenow.com/products/now-platform.html,html,2025-09-27,"ServiceNow Now Platform AI 2025","Source says connect and automate workflows across the enterprise with a single AI platform"
SAS Viya,enterprise_ai_suites,independent_isv,na,10k_plus,"Cloud-native end-to-end data and AI platform with built-in governance and automation",https://www.sas.com/en_us/software/viya.html,https://www.sas.com/en_us/software/viya.html,html,2025-09-27,"SAS Viya AI platform 2025","Source says SAS Viya is a cloud-native, end-to-end data and AI platform with built-in governance"
Infosys Topaz,enterprise_ai_suites,system_integrator,apac,10k_plus,"AI-first services, solutions, and platforms that accelerate enterprise-scale impact",https://www.infosys.com/topaz.html,https://www.infosys.com/topaz.html,html,2025-09-27,"Infosys Topaz AI platform 2025","Page describes Infosys Topaz as an AI-first set of services, solutions, and platforms for enterprise value"
Accenture AI Services,enterprise_ai_suites,consultancy,emea,10k_plus,"Accenture AI Refinery platform plus services to scale generative AI across the enterprise",https://www.accenture.com/us-en/services/applied-intelligence-index,https://www.accenture.com/us-en/services/applied-intelligence-index,html,2025-09-27,"Accenture enterprise AI platform 2025","Source highlights AI Refinery as a comprehensive platform to scale AI across the enterprise"
Cognizant Neuro AI,enterprise_ai_suites,system_integrator,na,10k_plus,"Enterprise-grade last mile for AI combining platforms, services, and IP",https://www.cognizant.com/us/en/services/enterprise-platform-services/neuro-ai,https://www.cognizant.com/us/en/services/enterprise-platform-services/neuro-ai,html,2025-09-27,"Cognizant Neuro AI platform","Source states Cognizant engineered an enterprise-grade last mile for AI with platforms, services, and IP"
Domino Data Lab,enterprise_ai_suites,independent_isv,na,500_999,"Enterprise AI platform unifying model development, MLOps, collaboration, and governance",https://domino.ai/platform,https://domino.ai/platform,html,2025-09-27,"Domino Data Lab enterprise AI platform","Source says Dominoâ€™s Enterprise AI Platform provides integrated experience for AI-driven enterprises"
Alteryx,enterprise_ai_suites,independent_isv,na,1k_4k,Analytics automation AI platform for governed enterprise workflows,https://www.alteryx.com/,https://www.alteryx.com/solutions/alteryx-ai-platform,html,2025-09-27,Alteryx AI platform 2025,Official platform page; HQ and headcount corroborated via logged Wikipedia entry.
Altair RapidMiner,enterprise_ai_suites,independent_isv,na,1k_4k,RapidMiner data analytics and machine learning platform under Altair,https://www.altair.com/,https://www.altair.com/rapidminer,html,2025-09-27,Altair RapidMiner AI platform,Product page outlines enterprise AI suite; HQ and size confirmed via Wikipedia Altair Engineering log.
Cloudera,enterprise_ai_suites,independent_isv,na,,Cloudera AI lakehouse platform combining governed data engineering and ML,https://www.cloudera.com/,https://www.cloudera.com/products/cloudera-ai.html,html,2025-09-27,Cloudera AI platform 2025,Official Cloudera AI overview; HQ validated via Wikipedia log entry.
FICO Platform,enterprise_ai_suites,independent_isv,na,1k_4k,"Decision intelligence platform orchestrating data, analytics, and automation",https://www.fico.com/,https://www.fico.com/en/products/fico-platform,html,2025-09-27,FICO Platform AI,FICO Platform capabilities captured; HQ and staffing referenced from logged Wikipedia source.
Qlik Staige,enterprise_ai_suites,independent_isv,na,,"Staige AI platform blending data integration, copilots, and AutoML",https://www.qlik.com/,https://www.qlik.com/us/products/qlik-staige,html,2025-09-27,Qlik Staige AI,Page details enterprise AI portfolio; HQ confirmed from logged Wikipedia entry.
Anaconda AI Platform,enterprise_ai_suites,independent_isv,na,,Anaconda AI Platform governing open source AI development and deployment,https://www.anaconda.com/,https://www.anaconda.com/ai-platform,html,2025-09-27,Anaconda Enterprise AI platform,Product overview consulted; Austin office address captured via logged contact page.
TIBCO Platform,enterprise_ai_suites,independent_isv,na,,"Unified integration, data, and AI platform from TIBCO",https://www.tibco.com/,https://www.tibco.com/platform,html,2025-09-27,TIBCO AI platform,Official TIBCO Platform description; HQ validated through logged Wikipedia source.
NVIDIA AI Enterprise,enterprise_ai_suites,device_manufacturer,na,10k_plus,Enterprise software stack for generative AI and data science workloads,https://www.nvidia.com/,https://www.nvidia.com/en-us/data-center/products/ai-enterprise/,html,2025-09-27,NVIDIA AI Enterprise platform,Product page cites end-to-end enterprise AI suite; HQ and workforce sourced from logged Wikipedia article.
